COMMON_CURRENT
! general FORMAT
19
2.000000e+00 1.000000e-02 2.000000e+00 1.000000e-02 10
1.150000e+01 1.000000e-02 1.200000e+01 1.000000e-02 4.182396e-01 0.000000e+00

8.000000e+00 1.000000e-02 8.000000e+00 1.000000e-02 7
8.500000e+00 1.000000e-02 9.000000e+00 1.000000e-02 1.635193e+01 0.000000e+00
9.000000e+00 1.000000e-02 9.500000e+00 1.000000e-02 6.602686e+00 0.000000e+00
9.500000e+00 1.000000e-02 1.000000e+01 1.000000e-02 3.305016e+00 0.000000e+00
1.000000e+01 1.000000e-02 1.050000e+01 1.000000e-02 1.773257e+00 0.000000e+00
1.050000e+01 1.000000e-02 1.100000e+01 1.000000e-02 1.090980e+00 0.000000e+00
1.100000e+01 1.000000e-02 1.150000e+01 1.000000e-02 7.485922e-01 0.000000e+00
1.150000e+01 1.000000e-02 1.200000e+01 1.000000e-02 5.545334e-01 0.000000e+00

8.500000e+00 1.000000e-02 8.500000e+00 1.000000e-02 6
9.000000e+00 1.000000e-02 9.500000e+00 1.000000e-02 1.827665e+01 0.000000e+00
9.500000e+00 1.000000e-02 1.000000e+01 1.000000e-02 6.678122e+00 0.000000e+00
1.000000e+01 1.000000e-02 1.050000e+01 1.000000e-02 3.159510e+00 0.000000e+00
1.050000e+01 1.000000e-02 1.100000e+01 1.000000e-02 1.771261e+00 0.000000e+00
1.100000e+01 1.000000e-02 1.150000e+01 1.000000e-02 1.125798e+00 0.000000e+00
1.150000e+01 1.000000e-02 1.200000e+01 1.000000e-02 7.850125e-01 0.000000e+00

9.000000e+00 1.000000e-02 9.000000e+00 1.000000e-02 5
9.500000e+00 1.000000e-02 1.000000e+01 1.000000e-02 1.834791e+01 0.000000e+00
1.000000e+01 1.000000e-02 1.050000e+01 1.000000e-02 6.347370e+00 0.000000e+00
1.050000e+01 1.000000e-02 1.100000e+01 1.000000e-02 3.120336e+00 0.000000e+00
1.100000e+01 1.000000e-02 1.150000e+01 1.000000e-02 1.816115e+00 0.000000e+00
1.150000e+01 1.000000e-02 1.200000e+01 1.000000e-02 1.182726e+00 0.000000e+00

9.500000e+00 1.000000e-02 9.500000e+00 1.000000e-02 4
1.000000e+01 1.000000e-02 1.050000e+01 1.000000e-02 1.705711e+01 0.000000e+00
1.050000e+01 1.000000e-02 1.100000e+01 1.000000e-02 5.846956e+00 0.000000e+00
1.100000e+01 1.000000e-02 1.150000e+01 1.000000e-02 2.947018e+00 0.000000e+00
1.150000e+01 1.000000e-02 1.200000e+01 1.000000e-02 1.763923e+00 0.000000e+00

1.000000e+01 1.000000e-02 1.000000e+01 1.000000e-02 3
1.050000e+01 1.000000e-02 1.100000e+01 1.000000e-02 1.633873e+01 0.000000e+00
1.100000e+01 1.000000e-02 1.150000e+01 1.000000e-02 5.506020e+00 0.000000e+00
1.150000e+01 1.000000e-02 1.200000e+01 1.000000e-02 2.783311e+00 0.000000e+00

1.050000e+01 1.000000e-02 1.050000e+01 1.000000e-02 2
1.100000e+01 1.000000e-02 1.150000e+01 1.000000e-02 1.606597e+01 0.000000e+00
1.150000e+01 1.000000e-02 1.200000e+01 1.000000e-02 5.360481e+00 0.000000e+00

1.100000e+01 1.000000e-02 1.100000e+01 1.000000e-02 1
1.150000e+01 1.000000e-02 1.200000e+01 1.000000e-02 1.597205e+01 0.000000e+00

